paper_id,question_id,question,reasoning,evidence,answer
"Jordan et al., 2023",0,Is the metric of time used in the statistical model reported?,"The statistical model does indeed report the metric of time, as indicated by the coding of Time 2 as 0 and Time 3 as 1 in relation to the mental health data collected during the COVID-19 pandemic peaks. This reflects the utilization of different time points as part of the statistical analysis. Therefore, the answer to the question is YES. "," - ""Time 2 was coded as 0, as this was when the pandemic peaked in Northern Ireland (NI)"" - ""For all models, Time 3 was coded as 1"" - ""The coding metric applied to each of the free time scores models allows the slope in each model to be interpreted as the difference between when psychological wellbeing difficulties were at their highest and lowest during the COVID-19 pandemic."" ",YES
"Jordan et al., 2023",1,Is information presented about the mean and variance of time within a wave?,"The context provides detailed statistical data regarding the means and standard deviations of psychological wellbeing measures across different time points. The presence of both ""mean"" and ""SD"" (standard deviation) for various psychological measures (such as Depression, Anxiety, PTSD, and Insomnia) indicates that information about variance is presented. Furthermore, the supplementary tables highlight these statistics clearly across the specified time points. Thus, the answer to the question is YES. "," - ""Means and standard deviations on the psychological wellbeing measure across time"" - ""Depression | 7.22 (5.75) | 7.39 (5.68) | 6.51 (5.65) | 6.59 (5.41)"" - ""Anxiety | 5.96 (5.27) | 5.91 (5.00) | 5.42 (5.15) | 5.40 (4.79)"" - ""PTSD | 17.94 (16.40) | 18.23 (16.92) | 13.42 (15.91) | 14.55 (16.33)"" - ""Insomnia | 9.97 (5.81) | 10.22 (5.94) | 9.58 (5.89) | 9.72 (5.98)"" ",YES
"Jordan et al., 2023",2,Is the missing data mechanism reported?,"The context discusses the missing data mechanism in detail. It specifically mentions the assumption of ""missing at random"" for the data and how the study accounted for it by including predictors of missingness in the multiple imputation model. Since the mechanism is stated explicitly, we can conclude that it is reported in the paper. Therefore, the answer to the question is YES. "," - ""the assumption that data are missing at random is a disadvantage of the approach."" - ""While predictors of missingness were included in the multiple imputation model, it is possible that other variables not included within the present study also predict missingness."" - ""The data on the Time 1 predictor variables were assumed to be missing at random as variables at other time points were predictive of missingness on the Time 1 variables."" ",YES
"Jordan et al., 2023",3,Is a description provided of what variables are related to attrition/missing data?,"The context describes multiple imputation as a method used to handle missing data, indicating that predictors of missingness were incorporated into the model. Specifically, it states that ""variables at other time points were predictive of missingness on the Time 1 variables."" Furthermore, it mentions that ""predictors of missingness were included in the multiple imputation model,"" which directly points out the relationship of variables to missing data. Therefore, the answer to the question is YES. "," - ""the multiple imputation was run in Mplus using the Markov Chain Monte Carlo method to generate 10 datasets."" - ""the data on the Time 1 predictor variables were assumed to be missing at random as variables at other time points were predictive of missingess on the Time 1 variables."" - ""While predictors of missingness were included in the multiple imputation model, it is possible that other variables not included within the present study also predict missingness."" ",YES
"Jordan et al., 2023",4,Is a description provided of how missing data in the analyses were dealt with?,"The context provides a clear description of how the authors dealt with missing data in their analyses. It states that ""Multiple imputation was used to handle missing data on the Time 1 predictor variables... The outcome variables were included in the imputation procedure as well as the Time 1-4 versions of the predictor variables."" Furthermore, it specifies that ""missing values in the growth models were dealt with via full information maximum likelihood estimation."" These details indicate that the paper does provide a description of their approach to handling missing data. Therefore, the answer to the question is YES."," - ""Multiple imputation was used to handle missing data on the Time 1 predictor variables."" - ""The outcome variables were included in the imputation procedure as well as the Time 1-4 versions of the predictor variables."" - ""missing values in the growth models were dealt with via full information maximum likelihood estimation.""",YES
"Jordan et al., 2023",5,Is information about the distribution of the observed variables included?,"The question asks if information about the distribution of the observed variables is included in the context. The context presents data on measures such as depression, anxiety, PTSD, and insomnia, along with their mean and standard deviation over multiple time points. This information indicates that there is an analysis of the distribution of these observed variables across time. Therefore, the answer to the question is YES. "," - ""Means and standard deviations on the psychological wellbeing measure across time"" - ""Depression | 7.22 (5.75) | 7.39 (5.68) | 6.51 (5.65) | 6.59 (5.41)"" - ""Anxiety | 5.96 (5.27) | 5.91 (5.00) | 5.42 (5.15) | 5.40 (4.79)"" - ""PTSD | 17.94 (16.40) | 18.23 (16.92) | 13.42 (15.91) | 14.55 (16.33)"" - ""Insomnia | 9.97 (5.81) | 10.22 (5.94) | 9.58 (5.89) | 9.72 (5.98)"" ",YES
"Jordan et al., 2023",6,Is the software mentioned?,"The context contains a specific mention of a software used for statistical analysis. The text states that ""Statistical analyses were conducted with Mplus version 8.6 (Muthén & Muthén, Los Angeles, USA),"" which directly confirms the presence of software in the study. Therefore, the answer to the question is YES. "," - ""Statistical analyses were conducted with Mplus version 8.6 (Muthén & Muthén, Los Angeles, USA; see <https://www.statmodel.com>)"" ",YES
"Jordan et al., 2023",7,"Are alternative specifications of within-class heterogeneity considered (e.g., LGCA vs. LGMM) and clearly documented?","The context does not mention any alternative specifications of within-class heterogeneity, such as Latent Growth Class Analysis (LGCA) versus Latent Growth Mixture Modeling (LGMM). While it discusses modeling strategies, it primarily focuses on the use of unconditional growth mixture models to identify class structures without indicating any comparison or documentation of alternative approaches. Therefore, it is reasonable to conclude that alternative specifications are not considered or clearly documented.", - [],NO
"Jordan et al., 2023",8,Are alternative specifications of the between-class differences in variancecovariance matrix structure considered and clearly documented?,"The context indicates that unconditional growth mixture models were employed to analyze between-class differences in various models, specifically mentioning variations in slope and quadratic parameters. It details how these models were constructed with variances and covariances either constrained to be equal across classes (invariant approach) or allowed to vary (class varying approach). It mentions that the ""class-varying approach led to convergence problems"" and that an ""invariant approach models all provided admissible solutions."" This suggests that alternative specifications were indeed considered, but they experienced issues leading to the adoption of a specific approach. Therefore, these considerations are documented as part of the methodology. Thus, the paper appears to consider and document alternative specifications of the variance-covariance matrix structure. "," - ""the class-varying approach led to convergence problems, even when only the intercepts were allowed to vary within classes."" - ""the invariant approach models all provided admissible solutions, and hence this approach was adopted for all models."" - ""In the second stage, unconditional growth mixture models were used to compare models with two to five classes for depression, anxiety and post-traumatic stress."" - ""the fit indices largely supported a 2-class solution for the depression, anxiety and post-traumatic stress models."" ",YES
"Jordan et al., 2023",9,Are alternative shape/functional forms of the trajectories described?,"The context presents information about the low-symptom and high-symptom classes for depression, anxiety, and PTSD, indicating distinct trajectories. The evidence suggests that one class significantly differs from the other in terms of symptom levels, with varying patterns across time points. This implies that alternative shape and functional forms of the trajectories are indeed described, as the high-symptom class shows increasing scores before dropping, while the low-symptom class fluctuates differently. Therefore, the answer to the question is YES. "," - ""the low-symptom class represented the largest proportion of the sample"" - ""the high-symptom class reported levels in excess of clinical cut-offs"" - ""Anxiety scores for the high-symptom class increased up until time point 3, then dropped off at time point 4"" - ""anxiety scores for the low-symptom class show a downward trend between time points 1 and 3, which then increased as COVID-19 hospital admissions started to rise again in Northern Ireland"" - ""significant variation in slope for the depression, and post-traumatic stress models, and in the quadratic component of the anxiety model"" ",YES
"Jordan et al., 2023",10,"If covariates have been used, can analyses still be replicated?","The use of covariates in analysis comes from the way missing data was handled and the statistical methods selected. The context states that ""the multiple imputation was run in Mplus using the Markov Chain Monte Carlo method to generate 10 datasets"" and that ""the final logistic regression models to predict class membership were run with complete cases."" Since the methods employed allowed comparison with multiple imputation analyses and these methods follow established statistical procedures, it indicates that analyses can still be replicated even with the inclusion of covariates. Therefore, the answer to whether analyses can still be replicated if covariates have been used is YES."," - ""the multiple imputation was run in Mplus using the Markov Chain Monte Carlo method to generate 10 datasets."" - ""the final logistic regression models to predict class membership were run with complete cases to allow comparison with those based on multiple imputation.""",YES
"Jordan et al., 2023",11,Is information reported about the number of random start values and final iterations included?,"The context does not provide any specific information about the number of random start values or final iterations used in the analyses. The focus is primarily on methods for handling missing data, conducting model fit analyses, and results from statistical tests without mentioning the initialization specifics or final iteration details. Therefore, the answer to whether such information is included is NO.", [],NO
"Jordan et al., 2023",12,Are the model comparison (and selection) tools described from a statistical perspective?,"The context provides details about various statistical analysis methods utilized, including model fitting and statistical tests such as LMR-LRT and BS-LRT. It discusses the criteria used for model selection, indicating that the comparisons were made from a statistical perspective. It also mentions specific fit indices for evaluating model performance, suggesting that these tools are indeed rooted in statistical methodology. Therefore, the answer to the question is YES."," - ""A variety of fit indices were used to determine if linear, quadratic or free time scores models provided the best fit for the models."" - ""Multiple fit indices were considered when deciding on the optimal number of classes; these included Bayesian information criterion, Akaike information criterion, sample-adjusted Bayesian information criterion, entropy and average posterior probabilities, the Lo-Mendell-Rubin likelihood ratio test and the bootstrapped likelihood ratio test."" - ""For all models LMR-LRT suggested that a 2-class solution provided a better fit than a 1-class solution.""",YES
"Jordan et al., 2023",13,"Are the total number of fitted models reported, including a one-class solution?","The question asks whether the total number of fitted models is reported, including a one-class solution. In the context, there is a table that explicitly lists fit indices for unconditional growth mixture models with 1 to 5 classes, indicating that models for 1-class to 5-class solutions are included. This clearly shows that the total number of fitted models, including a one-class solution, is reported. Therefore, the answer is YES. "," - ""Supplementary Table 4: Fit indices for unconditional growth mixture models with 1- to 5-classes (N=585)."" - ""In the next stage of the analysis growth mixture modelling was used to explore the significant variation in slope/quadratic parameters revealed in the depression, anxiety and post-traumatic stress growth curve models, with a view to identifying any sub-populations that may exist."" - ""The fit indices for the unconditional growth mixture models for 1-5 classes are shown in Supplementary Table 4."" ",YES
"Jordan et al., 2023",14,"Are the number of cases per class reported for each model (absolute sample size, or proportion)?","The context provides a breakdown of symptom levels across different classes. It clearly states the sizes of the classes in terms of absolute numbers for each model. This indicates that both the absolute size and proportion of each class are reported adequately. Therefore, the answer to the question is YES."," - ""the low-symptom class represented the largest proportion of the sample in the depression (n = 510, 87%), anxiety (n = 495, 85%) and PTSD (n = 492, 84%) models."" - ""the high-symptom class represented a much smaller proportion of health and social care staff for the depression (n = 75, 13%), anxiety (n = 90, 15%) and PTSD (n = 93, 16%) models.""",YES
"Jordan et al., 2023",15,"If classification of cases in a trajectory is the goal, is entropy reported?","The context indicates that entropy is indeed reported for various class solutions. It specifies values for entropy for both the depression and anxiety models across different class solutions, corroborating that classification of cases in a trajectory does include entropy. Thus, the answer to the question is YES."," - ""Entropy was highest for the 2-class solution of the depression and post-traumatic stress models, and for the 4- and 5-class solutions of the anxiety models."" - ""Entropy             | -        | .88      | .83      | .85      | .82      |"" - ""Entropy             | -        | .91      | .89      | .88      | .86      |""",YES
"Jordan et al., 2023",16,Is a plot included with the estimated mean trajectories of the final solution?,"The context indicates that ""Means weighted by estimated class probabilities are shown in Fig. 1 for the two-class depression, anxiety and PTSD growth mixture models."" This suggests that a plot is indeed included, showing the estimated mean trajectories. Therefore, the answer to the question is YES."," - ""Means weighted by estimated class probabilities are shown in Fig. 1 for the two-class depression, anxiety and PTSD growth mixture models.""",YES
"Jordan et al., 2023",17,Are plots included with the estimated mean trajectories for each model?,"The question asks whether the paper includes plots with the estimated mean trajectories for each model. The context mentions ""Fig. 1 Trajectories for the two-class depression, anxiety and PTSD unconditional growth mixture models,"" which indicates that plots visualizing these trajectories are present. Therefore, the answer to the question is YES."," - ""Fig. 1 Trajectories for the two-class depression, anxiety and PTSD unconditional growth mixture models.""",YES
"Jordan et al., 2023",18,Is a plot included of the combination of estimated means of the final model and the observed individual trajectories split out for each latent class?,"The context does indicate that there is a plot presenting the mean symptom scores for the two-class models for depression, anxiety, and PTSD. Specifically, it mentions ""Mean scores weighted by estimated class probabilities are shown in Fig. 1 for the two-class depression, anxiety and PTSD growth mixture models."" This confirms that the plot exists and presents the combination of estimated means alongside observed individual trajectories for each latent class."," - ""Mean scores weighted by estimated class probabilities are shown in Fig. 1 for the two-class depression, anxiety and PTSD growth mixture models.""",YES
